original,simplification1,simplification2,question,options,answer,orig_id,simp_pair_id
Auf der ganzen Welt sind schon hunderttausende Menschen von Corona-Virus krank geworden.,Von dem Corona-Virus sind schon viele Menschen krank.,Auf der ganzen Welt sind schon viele Menschen vom Virus krank geworden.,3,n,4,uid_apa_test_752,r3_pid_apa245
"Die ÖVP findet das Verbot unfair für die Bauern, die Glyphosat verwenden.","Die ÖVP findet es unfair, dass Bauern kein Glyphosat mehr verwenden dürfen.","Die ÖVP findet das Verbot schlecht. Die ÖVP sagt, dass die Bauern das Gift brauchen.",3,y,3,uid_apa_test_446,r3_pid_apa38
"Tankstellen und kleine Geschäfte auf Bahnhöfen und Flughäfen sind Ausnahmen, sie dürfen weiterhin auch nach 19 Uhr offen haben.",Aber nicht alle Geschäfte müssen dann zu machen. Man darf zum Beispiel immer noch auf dem Flughafen einkaufen.,Die Tankstellen auf Bahnhöfen und Flughäfen können aber auch nach 19 Uhr geöffnet bleiben.,3,n,4,uid_apa_test_217,r3_pid_apa295
Dabei wurden auch Geschäfte zerstört und Polizei-Autos in Brand gesetzt.,Viele Geschäfte wurden zerstört und Polizei-Autos in Brand gesetzt.,Die Menschen haben auch Geschäfte zerstört. Sie haben auch Polizei-Autos in Brand gesetzt.,4,y,4,uid_apa_test_245,r3_pid_apa74
Am Dienstag hat es in Österreich einen weiteren Rückgang bei den am Corona-Virus erkrankten Menschen gegeben.,Am Dienstag gab es in Österreich wieder weniger Menschen mit dem Corona-Virus. Das sagt das Gesundheits-Ministerium.,Am Dienstag waren in Österreich wieder weniger Menschen am Corona-Virus erkrankt.,4,n,5,uid_apa_test_462,r3_pid_apa15
"Generell empfiehlt die Regierung, Freunde und Bekannte derzeit nicht mehr zu treffen.","Die Regierung sagt, man sollte jetzt auch nicht zu Freunden oder Bekannten gehen.",Man sollte Freunde und Bekannte nicht treffen. Das sagt die Regierung.,4,y,2,uid_apa_test_138,r3_pid_apa29
"""Lonely Planet"" erstellt jedes Jahr eine Rangliste der besten 10 Städte, Länder und Regionen auf der ganzen Welt.","Jedes Jahr veröffentlicht die Firma Lonely Planet eine Rangliste von den besten Städten, Ländern und Regionen der Welt.","Jedes Jahr schreibt das Buch ""Lonely Planet"" eine Liste. Darin stehen die besten Städte auf der ganzen Welt.",3,y,0,uid_apa_test_578,r3_pid_apa58
"Die österreichischen Haushalte sparten laut vorläufigen Zahlen 31,9 Milliarden Euro.",Die Österreicher sparten im 1. Halbjahr 2019 viel Geld. Das hat die Statistik Austria berichtet.,Die Menschen in Österreich haben viel Geld gespart. Das sind 31 Milliarden Euro.,1,n,2,uid_apa_test_367,r3_pid_apa203
"Als Opposition gelten alle Parteien, die im Parlament vertreten sind, aber nicht der Regierung angehören.",Die Regierung ist die stärkste Partei. Die anderen Parteien sind die Opposition.,"Die Opposition sind alle Parteien, die im Parlament vertreten sind. Allerdings sind sie nicht in der Regierung vertreten.",1,n,6,uid_apa_test_0,r3_pid_apa123
Derzeit sind 4.456 Menschen in Österreich am Corona-Virus erkrankt.,4.456 Menschen in Österreich sind krank. Sie haben sich mit dem Corona-Virus angesteckt.,Es gibt in Österreich jetzt 4.456 Corona-Kranke.,1,y,6,uid_apa_test_625,r3_pid_apa168
"Allerdings sagen einige Geheimdienste aus dem Ausland, dass das BVT nicht genug macht, um seine geheime Arbeit zu schützen.","Es gibt aber auch Menschen, die behaupten, dass das BVT nicht genug macht. Es gibt Geheimdienste aus dem Ausland, die das sagen. Sie behaupten, dass das BVT seine Arbeit nicht genug schützt.",Einige Geheimdienste aus dem Ausland sagen: Das BVT schützt seine Arbeit nicht genug.,4,y,19,uid_apa_test_599,r3_pid_apa206
"Am Mittwoch hat der Iran bekanntgegeben, dass er teilweise aus dem Atom-Abkommen aussteigt.","Am Mittwoch ist bekannt geworden, dass der Iran teilweise aus dem Atom-Abkommen aussteigt.",Am Mittwoch hat sich der Iran vom Atom-Abkommen zurückgezogen.,3,n,4,uid_apa_test_425,r3_pid_apa299
Am Freitag beginnen die Massentests in Wien und in den Bundesländern Vorarlberg und Tirol.,"Am Freitag sollen die Massentests beginnen. In Wien, Vorarlberg und Tirol.",Am Freitag werden die Massentests in Wien und in den Bundesländern Vorarlberg und Tirol starten.,3,y,4,uid_apa_test_123,r3_pid_apa129
"Generell empfiehlt die Regierung, Freunde und Bekannte derzeit nicht mehr zu treffen.","Die Regierung sagt, dass man keine Freunde mehr treffen soll.","Die Regierung sagt, es ist besser, wenn man im Moment nicht seine Freunde treffen soll.",3,y,5,uid_apa_test_138,r3_pid_apa296
Am Donnerstag ist ein Mann in Kärnten von einer Kuh schwer verletzt worden.,Ein Mann in Kärnten ist am Donnerstag von einer Kuh verletzt worden.,In Kärnten ist ein Mann von einer Kuh verletzt. Er war im Stall. Die Kuh hat ihn ganz schön weh gemacht. Der Mann hat viele Schürfwunden.,1,n,14,uid_apa_test_438,r3_pid_apa218
"Ende September gab es noch 295.000 Kurzarbeiter, im Frühjahr waren es sogar 1,3 Millionen.","Ende September gab es noch 295.000 Kurz-Arbeiter. Im Frühjahr waren es sogar 1,3 Millionen. Das heißt, viele mehr als jetzt.","Es gab jetzt noch 295.000 Kurz-Arbeiter. Im Frühjahr waren es 1,3 Millionen. Das war ein Jahr zuvor.",4,y,3,uid_apa_test_448,r3_pid_apa114
"Die EU kritisiert, dass in China die Volksgruppe der Uiguren stark benachteiligt wird.","Die EU findet, dass man in China die Uiguren nicht gut behandelt.","Die EU kritisiert China dafür, dass in China die Minderheit der Uiguren stark unterdrückt wird.",3,y,3,uid_apa_test_153,r3_pid_apa40
"Allerdings sagen einige Geheimdienste aus dem Ausland, dass das BVT nicht genug macht, um seine geheime Arbeit zu schützen.","Aber einige Geheim-Dienste aus dem Ausland sagen, dass das BVT nicht genug macht.",Aber das BVT macht nicht genug. Das sagen Geheimdienste aus dem Ausland.,3,y,1,uid_apa_test_599,r3_pid_apa159
Das Fracht-Schiff hatte vor über einem Jahr mitten im Atlantischen Ozean technische Probleme und konnte nicht mehr weiterfahren.,Das Schiff ist noch auf dem Meer. Es kann nicht mehr fahren.,Das Schiff hatte vor einem Jahr technische Probleme im Meer und konnte deshalb nicht mehr weiterfahren.,1,n,4,uid_apa_test_525,r3_pid_apa77
Am Mittwoch hat es um 8.30 Uhr in der Gegend von Admont in der Steiermark ein Erdbeben gegeben.,Es gab in der Steiermark am Mittwoch um 8:30 Uhr ein Erdbeben. Die Gegend heißt Admont.,Am Mittwoch hat es in der Steiermark ein Erdbeben gegeben. Es war um 8.30 Uhr. Das Erdbeben fand in der Gegend von Admont statt.,4,y,8,uid_apa_test_654,r3_pid_apa163
Dann kamen die falschen Polizisten zu den älteren Menschen nach Hause und holten das Geld ab.,Die falschen Polizisten sind dann zu den Menschen gegangen und haben das Geld abgeholt.,Dann kamen die falschen Polizisten zu den älteren Menschen. Sie haben dann das Geld von den Menschen genommen.,3,y,4,uid_apa_test_722,r3_pid_apa294
Das Windrad in Lichtenegg steht Besuchern offen und kann von April bis September am Wochenende besichtigt werden.,Das Windrad in Lichtenegg kann man auch von April bis September besichtigen.,Das Windrad ist aber für die Menschen zugänglich. Man kann es von April bis September besuchen.,3,y,4,uid_apa_test_622,r3_pid_apa135
"Die EU kritisiert, dass in China die Volksgruppe der Uiguren stark benachteiligt wird.",China behandelt die Uiguren schlecht. Sie haben keinen gleichen Status wie die restlichen Menschen in China.,Die EU kritisiert China. Das Land behandelt die Volksgruppe der Uiguren sehr ungerecht. Die Uiguren sind eine kleine Volksgruppe.,4,y,3,uid_apa_test_153,r3_pid_apa279
Der Präsident von China Xi Jinping besuchte mit einer Maske und einem weißen Kittel ein Krankenhaus in Peking.,In China besuchte der Präsident Xi Jinping ein Krankenhaus. Er trug eine Maske und einen Kittel.,"In Peking in China hat sich der Präsident anguckt, wie man im Krankenhaus gegen das Virus kämpft. Er trug eine Maske und einen Kittel.",3,n,8,uid_apa_test_649,r3_pid_apa194
Am Mittwoch in der Früh waren nur noch ungefähr 3.000 Menschen mit dem Corona-Virus erkrankt.,Am Mittwoch waren nur noch 3.000 Menschen krank. Das sind viel weniger als vorher.,"Die meisten Menschen, die mit dem Corona-Virus krank sind, sind am Mittwoch wieder gesund geworden.",3,y,1,uid_apa_test_193,r3_pid_apa263
Es stammt vom italienischen Künstler Leonardo da Vinci und ist rund 500 Jahre alt.,Es ist 500 Jahre alt. Das Bild hat der italienische Künstler Leonardo da Vinci gemacht. Er war ein berühmter Maler.,Das Bild ist rund 500 Jahre alt. Es stammt vom berühmten Künstler Leonardo da Vinci.,4,y,5,uid_apa_test_46,r3_pid_apa178
Die 2 Frauen bekommen den Nobelpreis für die Entwicklung der sogenannten Gen-Schere CRISPR/Cas9.,Die 2 Frauen bekommen den Nobelpreis. Sie haben die sogenannte Gen-Schere erfunden. Die Gen-Schere heißt CRISPR/Cas9.,Sie haben das genetische Werkzeug CRISPR/Cas9 entwickelt. Es macht es leichter Genetik- Forschung zu machen. Genetik-Forscher wissen mit der Gen-Schere mehr über den Gen-Aufbau von Tieren und Menschen.,4,n,12,uid_apa_test_5,r3_pid_apa191
Am 7. September startet im Osten von Österreich das neue Schuljahr.,Am 7. September startet in Österreich die Schule wieder.,Im Osten von Österreich fängt das Schuljahr am 7. September an.,3,n,2,uid_apa_test_734,r3_pid_apa195
AUA streicht wegen Corona-Virus fast die Hälfte der Italien-Flüge.,Die Fluglinie AUA fliegt nicht mehr so oft nach Italien.,Italien-Flüge mit der Fluglinie AUA werden jetzt viel weniger.,3,y,1,uid_apa_test_627,r3_pid_apa285
Am Dienstag hat es in Österreich einen weiteren Rückgang bei den am Corona-Virus erkrankten Menschen gegeben.,Am Dienstag sind in Österreich wieder weniger Menschen am Corona-Virus erkrankt.,"In Österreich gibt es immer mehr Menschen, die vom Corona-Virus geheilt sind.",3,y,1,uid_apa_test_462,r3_pid_apa160
"Ende September gab es noch 295.000 Kurzarbeiter, im Frühjahr waren es sogar 1,3 Millionen.","Im Frühjahr gab es mehr als 1,3 Millionen Menschen, die wegen Corona in Kurz-Arbeit waren.","Im September gab es noch 295.000 Kurz-Arbeiter. Im Frühjahr waren es 1,3 Millionen.",3,n,2,uid_apa_test_448,r3_pid_apa71
Am Freitag haben für rund 450.000 Schüler in Wien und Niederösterreich die Semesterferien begonnen.,In Wien und in Niederösterreich sind die Schul-Ferien. Sie dauern bis zum 12. Februar.,In Wien und Niederösterreich begann am Freitag das Semester-Ende. Damit haben für fast 450.000 Schüler in den beiden Bundesländern die Semester-Ferien begonnen.,1,n,8,uid_apa_test_496,r3_pid_apa212
Als erster Mensch in den USA bekam die Krankenschwester Sandra Lindsay die Impfung.,"Die Frau ist eine Krankenschwester. Sie heißt Sandra. Sie ist die erste Frau in den USA, die die Impfung hat.",In den USA bekam die Krankenschwester Sandra Lindsay die erste Impfung gegen den Corona-Virus.,1,n,6,uid_apa_test_50,r3_pid_apa26
Es stammt vom italienischen Künstler Leonardo da Vinci und ist rund 500 Jahre alt.,Es stammt vom italienischen Künstler Leonardo da Vinci. Leonardo da Vinci war im 16. Jahrhundert Künstler.,Das Bild ist alt. Es malte Leonardo da Vinci. Er ist ein berühmter Künstler aus Italien.,1,n,0,uid_apa_test_46,r3_pid_apa49
"Allerdings sagen einige Geheimdienste aus dem Ausland, dass das BVT nicht genug macht, um seine geheime Arbeit zu schützen.","Aber einige Geheimdienste aus anderen Ländern sagen, dass das BVT nicht genug macht, um seine geheime Arbeit zu schützen.","Manche Geheimdienste sind aber nicht so zufrieden. Sie sagen, das BVT macht nicht genug für seine Geheim-Informationen.",1,y,2,uid_apa_test_599,r3_pid_apa128
Ende Mai hatten 45.000 Arbeitslose wieder einen Job gefunden.,45.000 Menschen haben jetzt wieder einen Job. Das sagt die Arbeits-Ambulanz.,Anfang Juni haben aber wieder 45.000 Arbeitslose wieder einen Job gefunden.,1,n,0,uid_apa_test_125,r3_pid_apa92
Am Montag hat das Elefanten-Mädchen Kibali im Wiener Tiergarten Schönbrunn seinen ersten Geburtstag gefeiert.,Das Elefanten-Mädchen Kibali ist ein Jahr alt. Es feierte am Montag seinen ersten Geburtstag. Das Elefanten-Mädchen lebt im Wiener Tiergarten Schönbrunn.,Kibali ist ein Elefanten-Mädchen. Am Montag hat Kibali einen Geburtstag gefeiert. Kibali ist im Wiener Tiergarten Schönbrunn zuhause.,4,y,3,uid_apa_test_761,r3_pid_apa73
Dann kamen die falschen Polizisten zu den älteren Menschen nach Hause und holten das Geld ab.,"Es klingelte an der Haustür von den älteren Menschen. Draußen standen zwei falsche Polizisten. Sie erzählten den älteren Menschen, dass sie Geld von ihnen brauchen. Dann holten die falschen Polizisten das Geld von den älteren Menschen ab.",Die falschen Polizisten kommen zu alten Menschen nach Hause. Sie wollen aber nicht helfen. Sondern sie klauen das Geld von den alten Menschen.,1,y,14,uid_apa_test_722,r3_pid_apa270
Das Windrad in Lichtenegg steht Besuchern offen und kann von April bis September am Wochenende besichtigt werden.,Man kann das Windrad aber besuchen. Das ist in Lichtenegg in der Steiermark. Es ist ganz in Orange. Man kann es von April bis September am Wochenende besuchen.,Das Windrad in Lichtenegg im Burgenland kann man sich im Frühling und Sommer auch ansehen. Das Windrad ist im Ort Lichtenegg in der Nähe von Neudörfl.,1,n,2,uid_apa_test_622,r3_pid_apa193
Der Präsident von China Xi Jinping besuchte mit einer Maske und einem weißen Kittel ein Krankenhaus in Peking.,Der Präsident von China besuchte ein Krankenhaus in Peking. Er trug eine Maske und einen weißen Kittel. Damit wollte er sich vor dem Corona-Virus schützen.,Der Präsident von China besuchte ein Krankenhaus. Er hatte eine Maske auf. So hält man sich von dem Virus fern.,4,y,5,uid_apa_test_649,r3_pid_apa96
"""Mit der Impfung ist der Anfang für den Sieg gegen die Pandemie eingeleitet"", sagte Bundeskanzler Sebastian Kurz.",Mit der Impfung hat Österreich den Anfang gemacht. Der Anfang für den Sieg gegen die Pandemie. Das sagte der Bundeskanzler Sebastian Kurz.,"Der Anfang vom Ende der Pandemie ist erreicht, sagte Bundeskanzler Sebastian Kurz. Kurz spricht von dem Corona-Impfstoff.",4,y,5,uid_apa_test_393,r3_pid_apa244
"""Mit der Impfung ist der Anfang für den Sieg gegen die Pandemie eingeleitet"", sagte Bundeskanzler Sebastian Kurz.","Deshalb hat die Regierung die Impfungen gegen das Corona-Virus verordnet. Mit den Impfungen ist der Anfang von dem Sieg gegen die Corona-Pandemie eingeleitet, sagte Bundeskanzler Sebastian Kurz.",Bundes-Kanzler Sebastian Kurz sagt: Das Virus ist noch nicht ganz weg. Deshalb braucht man noch eine Impfung. Das ist aber der Anfang vom Ende der Krankheit.,1,y,1,uid_apa_test_393,r3_pid_apa20
Dabei wurden auch Geschäfte zerstört und Polizei-Autos in Brand gesetzt.,Dabei sind auch Geschäfte kaputt gegangen. Und es gab auch Angriffe auf die Polizei.,Bei diesem Streit wurden auch Geschäfte zerstört.,3,n,7,uid_apa_test_245,r3_pid_apa247
Bei den Buben wurden neben Paul auch gerne die Namen David und Jakob gewählt.,"Die beliebtesten Namen für die Buben waren David, Paul und Jakob.",Bei den Jungs heißen die beliebtesten Namen David und Jakob.,3,y,1,uid_apa_test_423,r3_pid_apa184
Am Freitag haben für rund 450.000 Schüler in Wien und Niederösterreich die Semesterferien begonnen.,Für 450.000 Schüler in Wien und Niederösterreich hat am Freitag die Schule ausgemacht.,Am Freitag ist in Wien und in Niederösterreich Ferien. Rund 450.000 Schüler haben dann frei.,3,y,2,uid_apa_test_496,r3_pid_apa27
Der 65. Eurovision Song Contest soll vom 12. bis 16. Mai in der Stadt Rotterdam in den Niederlanden stattfinden.,Der Eurovision Song Contest findet in Rotterdam in den Niederlanden statt. Das ist in der Stadt Rotterdam in den Niederlanden. Der Contest findet vom 12. bis 16. Mai statt.,Der Eurovision Song Contest findet in den Niederlanden statt. Der Song Contest soll vom 12. bis 16. Mai stattfinden. Die Stadt Rotterdam ist der Veranstaltungsort.,4,y,4,uid_apa_test_696,r3_pid_apa32
Ende Mai hatten 45.000 Arbeitslose wieder einen Job gefunden.,Im Mai bekamen wieder 45.000 Menschen einen neuen Job.,Im Mai haben 45.000 Menschen wieder einen Job bekommen.,3,y,0,uid_apa_test_125,r3_pid_apa233
"Da die ÖVP und die FPÖ nun nicht mehr zusammenarbeiten, hat sich die ÖVP nun anders entschieden.",Daher hat die ÖVP nun einen neuen Koalitionspartner. Die FPÖ will nun keine Koalition mit der ÖVP mehr.,Die ÖVP und die FPÖ arbeiten nicht mehr zusammen. Deshalb hat die ÖVP sich anders entschieden.,4,y,2,uid_apa_test_305,r3_pid_apa175
"3.639 Menschen befinden sich wegen dem Corona-Virus derzeit im Spital, 701 davon auf einer Intensiv-Station.","In Österreich gibt es 3.639 Menschen, die an dem Corona-Virus erkrankt sind. 701 Menschen liegen im Spital auf der Intensiv-Station.",3.639 Menschen sind in Österreich mit dem Corona-Virus im Spital. Davon sind 701 auf Intensiv-Stationen.,3,y,5,uid_apa_test_737,r3_pid_apa180
Bei den Buben wurden neben Paul auch gerne die Namen David und Jakob gewählt.,Bei den Buben. Viele haben auch David oder Jakob gewählt. Das sind aber auch sehr beliebte Namen.,David und Jakob sind auch sehr beliebte Namen.,4,y,9,uid_apa_test_423,r3_pid_apa72
