original,simplification1,simplification2,question,options,answer,orig_id,simp_pair_id
"Allerdings sagen einige Geheimdienste aus dem Ausland, dass das BVT nicht genug macht, um seine geheime Arbeit zu schützen.","Allerdings sagen einige Geheimdienste aus dem Ausland, dass das BVT zu wenig macht, um seine geheime Arbeit zu schützen.","Es gibt aber auch Menschen, die behaupten, dass das BVT nicht genug macht. Es gibt Geheimdienste aus dem Ausland, die das sagen. Sie behaupten, dass das BVT seine Arbeit nicht genug schützt.",6,y,13,uid_apa_test_599,r3_pid_apa259
"Am Mittwoch hat der Iran bekanntgegeben, dass er teilweise aus dem Atom-Abkommen aussteigt.","Am Mittwoch, dem 8. Mai, hat das Land Iran gesagt, dass es teilweise aus dem Atom-Abkommen aussteigt. Das Atom-Abkommen ist ein Vertrag zwischen vielen Ländern. Der Iran will den Vertrag verlassen.","Am Mittwoch hat der Iran eine Nachricht an die Welt geschickt. Er hat bekanntgegeben, dass er aus dem Atom-Abkommen teilweise aussteigt.",2,y,10,uid_apa_test_425,r3_pid_apa33
"""Mit der Impfung ist der Anfang für den Sieg gegen die Pandemie eingeleitet"", sagte Bundeskanzler Sebastian Kurz.",Die Impfung gegen das Corona-Virus hat in Österreich am 27. Dezember begonnen. Mit der Impfung ist der Anfang für den Sieg gegen die Pandemie eingeleitet. Das sagte der österreichische Bundeskanzler Sebastian Kurz.,"Deshalb hat die Regierung die Impfungen gegen das Corona-Virus verordnet. Mit den Impfungen ist der Anfang von dem Sieg gegen die Corona-Pandemie eingeleitet, sagte Bundeskanzler Sebastian Kurz.",2,n,5,uid_apa_test_393,r3_pid_apa181
"Dabei soll geprüft werden, ob die WHO etwas falsch gemacht hat.","Es soll geprüft werden, ob die WHO sich geirrt hat.","Dafür soll geprüft werden, ob die WHO richtig oder falsch handelte. Die WHO ist eine internationale Organisation, die Gesundheitsprobleme bekämpft.",6,n,10,uid_apa_test_408,r3_pid_apa139
"3.639 Menschen befinden sich wegen dem Corona-Virus derzeit im Spital, 701 davon auf einer Intensiv-Station.",Derzeit liegt in den Krankenhäusern von der Schweiz auch 3.639 Menschen wegen dem Corona-Virus. 701 davon werden auf Intensiv-Stationen behandelt.,"3.639 Menschen liegen wegen dem Corona-Virus im Spital. 701 von ihnen sind auf einer Intensiv-Station. Auf einer Intensiv-Station werden Patienten behandelt, die sehr schwer erkrankt sind. Sie brauchen viel Hilfe.",6,n,10,uid_apa_test_737,r3_pid_apa162
"Ende September gab es noch 295.000 Kurzarbeiter, im Frühjahr waren es sogar 1,3 Millionen.","Im September gab es 295.000 Menschen, die in Kurz-Arbeit waren. Im Frühling waren es sogar 1,3 Millionen.","Ende September waren in Österreich noch rund 295.000 Menschen in Kurz-Arbeit. Im Frühjahr waren es fast 1,3 Millionen.",2,y,1,uid_apa_test_448,r3_pid_apa1
Das Fracht-Schiff hatte vor über einem Jahr mitten im Atlantischen Ozean technische Probleme und konnte nicht mehr weiterfahren.,Das Schiff lag mehr als ein Jahr auf dem Meer. Das Schiff lag auf dem Meer und konnte nicht mehr fahren. Das Schiff war mitten auf dem Ozean kaputt.,Das Schiff war am 28. September 2019 von der Insel Madeira im Atlantik gestartet. Dann gab es aber technische Probleme und das Schiff konnte nicht mehr weiterfahren.,2,n,2,uid_apa_test_525,r3_pid_apa237
Am 22. Juni hat das Geparden-Weibchen Afra im Wiener Tiergarten Schönbrunn 4 Geparden-Babys auf die Welt gebracht.,Afra hat 4 Baby-Geparden geboren. Das hat sie am 22. Juni getan. Sie lebt im Wiener Tiergarten Schönbrunn.,Am 22. Juni hat Afra im Tiergarten Schönbrunn 4 Baby-Geparden auf die Welt gebracht. Afra ist eine Geparden-Mutter im Tiergarten Schönbrunn. Der Tiergarten Schönbrunn ist eine der größten Tiergärten der Welt.,6,n,13,uid_apa_test_250,r3_pid_apa86
Am Donnerstag ist ein Mann in Kärnten von einer Kuh schwer verletzt worden.,Am Donnerstag wurde ein Mann in Kärnten bei einem Unglück verletzt.,Am Donnerstag ist ein Mann in Kärnten schwer verletzt worden.,5,y,1,uid_apa_test_438,r3_pid_apa208
Ende Mai hatten 45.000 Arbeitslose wieder einen Job gefunden.,Im Mai konnten 45.000 Arbeitslose wieder einen Job finden.,Ende Mai hatte 45.000 Arbeitslose einen neuen Job gefunden.,6,y,0,uid_apa_test_125,r3_pid_apa136
