original,simplification1,simplification2,question,options,answer,orig_id,simp_pair_id
"Rekordpreis für ein Banksy-Gemälde bei einer Auktion heute Abend aufgestellt, schrieb der Künstler auf Instagram.",Das Gemälde wurde am Abend auf einer Auktion für Rekord-Preise versteigert. Das schrieb der Künstler Banksy. Er postete das auf seinem Instagram-Konto.,Heute Abend versteigerte der Künstler ein Bild. Es stellte einen neuen Rekord auf.,2.5045759226,4.3273041246,Llama8B,uid_lhapa_1279,r2_pid_lhapa1569490
Damit gab es in Bormio einen österreichischen Doppelsieg.,Somit gab es in Bormio einen österreichischen Doppelsieg.,"Das bedeutet, dass es einen Doppelsieg für Österreich gibt.",3.0384671216,3.2156384757,LeoLM Mistral 7B,uid_apa_4223,r2_pid_apa839759
Im Jahr 2016 floh Seisenbacher in die Ukraine.,2016 flüchtete Seisenbacher in die Ukraine.,Im Jahr 2016 ist Seisenbacher in die Ukraine geflohen.,3.0682092112,2.0616900984,LeoLM Mistral 7B,uid_apa_3523,r2_pid_apa790566
Aber wegen der Corona-Krise können die meisten von ihnen nicht nach Österreich reisen.,Aber wegen der Corona-Krise können sie auch nicht nach Österreich kommen.,Wegen der Corona-Krise dürfen sie aber nicht nach Österreich kommen.,3.9636968948,2.756563265,Disco Llama8B,uid_apa_634,r2_pid_apa276942
Das derzeit zehnköpfige Team ist in Eisenstadt stationiert und steht unter der fachlichen Leitung des Bundeskriminalamts (BK).,Das Team in Eisenstadt besteht derzeit aus 10 Menschen. Es wird unter der Leitung vom Bundeskriminalamt (BK) betreut.,Das Team besteht aus 10 Personen und ist in Eisenstadt stationiert. Die fachliche Leitung übernimmt das Bundeskriminalamt (BK).,2.8433816396,1.9885665896,Disco Llama8B,uid_lhapa_8987,r2_pid_lhapa579599
Älteste Höhlenmalerei der Welt in Indonesien entdeckt.,"In Indonesien hat man eine Höhlenmalerei entdeckt. Es ist die älteste, die man bis jetzt gefunden hat.",In Indonesien ist die älteste Höhlenmalerei der Welt gefunden worden.,2.6957010594,2.6762683642,LeoLM Mistral 7B,uid_apa_3183,r2_pid_apa766278
Islamismus ist eine extreme Auslegung der Religion Islam.,"Islamismus bedeutet, dass jemand den Islam sehr streng auslegt.",Einige Menschen im Islam haben eine sehr radikale Auslegung von dem Islam. Man nennt sie Islamisten.,3.9122767672,4.0273038942,Disco Llama8B,uid_apa_721,r2_pid_apa282743
Vorgeworfen wird Strache der Missbrauch von Spesen.,"Der Politiker Strache wird vorgeworfen, dass er Spesen missbraucht hat.",Strache soll Spesen missbraucht haben.,3.3032774217,5.5028229844,LeoLM Mistral 7B,uid_lhapa_8547,r2_pid_lhapa1208326
Auch das Hallo war eher von der höflichen Sorte: Wir sind die Band Tocotronic und begrüßen euch auf das Allerherzlichste.,Die Band heißt Tocotronic. Ihr begrüßt die Zuschauer freundlich.,Sie sind eine Band namens Tocotronic. Sie begrüßten uns auch auf eine sehr höfliche Art und Weise.,3.4379551174,3.7066906457,LeoLM Mistral 7B,uid_lhapa_7908,r2_pid_lhapa1186096
"Wenn man Menschen trifft, trägt man das in der App ein.","Wer jemanden besucht oder Menschen trifft, kann das dann in der App eintragen.","Wenn man sich mit Menschen trifft, dann kann man es in der App eintragen.",4.7033273061,2.7557836621,Disco Llama8B,uid_apa_375,r2_pid_apa186987
In der Champions League spielen die besten Fußball-Vereine in Europa gegeneinander.,Das ist die Champions League. In der Champions League spielen die besten Fußball-Vereine in Europa gegeneinander.,In der Champions League spielen die besten Fußball-Teams Europas gegeneinander.,1.9825191307,2.3862732283,Disco Llama8B,uid_apa_3652,r2_pid_apa179854
Nun fordern viele US-Politiker die Absetzung von US-Präsident Trump.,"Nun fordern viele Politiker in den USA Trumps Absetzung. Das heißt, dass sie ihn nicht mehr zum Präsidenten wollen.",Nun fordern viele US-Politiker die Entlassung von Trump.,3.1405284743,3.7823386784,Llama8B,uid_apa_3360,r2_pid_apa1418182
"Johnson müsste darauf hoffen, dass das nicht gelingt.","Johnson müsste dann hoffen, dass es nicht klappt.","Johnson muss hoffen, dass es nicht gelingt.",3.2588932891,3.4757005901,LeoLM Mistral 7B,uid_lhapa_5125,r2_pid_lhapa1079188
Die weltberühmte Inka-Stätte Machu Picchu in Peru ist nach monatelanger Schließung wegen der Corona-Pandemie wieder für Besucher zugänglich.,Machu Picchu war wegen der Corona-Krise mehrere Monate lang nicht zugänglich. Jetzt ist es wieder geöffnet.,Die Inka-Stätte Machu Picchu in Peru ist nach einer Corona-Krise wieder für die Öffentlichkeit zugänglich. Seit Monaten war die Touristen-Zone geschlossen.,3.793675895,2.8162998641,Llama8B,uid_lhapa_10058,r2_pid_lhapa1556405
Auch der englische Prinz Charles ist vom Corona-Virus krank geworden.,In England ist auch Prinz Charles an dem Virus krank.,Auch Prinz Charles aus England ist krank. Der Grund dafür ist das Corona-Virus.,5.5273412411,3.2876554088,Disco Llama8B,uid_apa_4113,r2_pid_apa213560
"Der Bub war unterwegs, weil er mit seiner Mutter gestritten hatte.",Der Bub ist davongelaufen. Er hatte mit seiner Mutter gestritten.,Der Bub hatte mit seiner Mutter gestritten. Deshalb lief er einfach davon.,3.685443677,3.4566050213,LeoLM Mistral 7B,uid_apa_511,r2_pid_apa891094
"Nehammer betonte, dass es Aufgabe der Polizei sei, Grundrechte zu schützen.","Nehammer meinte, dass es Aufgabe der Polizei ist, die Grundrechte von Menschen zu schützen.","Für Nehammer gehört es auch zur Aufgabe der Polizei, Grund-Rechte von Bürger zu schützen.",2.8516194609,3.4015824874,Disco Llama8B,uid_lhapa_9026,r2_pid_lhapa580720
Die Österreicher fahren wieder mehr mit dem Auto.,Die Österreicher fahren wieder öfter mit dem Auto.,Die Menschen in Österreich fahren wieder mehr mit dem Auto.,3.5890414523,3.7463514624,LeoLM Mistral 7B,uid_apa_78,r2_pid_apa910389
Ursprünglich kommen die Fischstäbchen aus Großbritannien.,Die Fischstäbchen stammen ursprünglich aus England. Dort hat man sie erfunden.,Die Fisch-Stäbchen haben ihren Ursprung in Großbritannien.,2.9211975846,2.6966089073,Llama8B,uid_apa_1410,r2_pid_apa1293323
So ist der Virus wahrscheinlich zu den Menschen gekommen.,So kam der Virus vermutlich zu den Menschen.,So ist der Virus wahrscheinlich zu uns gekommen.,4.8591286947,5.0683387391,Llama8B,uid_apa_462,r2_pid_apa1504152
Am schlimmsten traf es die Hotels und Lokale.,Schwierig hatten es aber vor allem die Lokale und die Hotels.,Am schlimmsten waren die Hotels und Lokale davon betroffen.,5.0967051365,2.4095305611,Disco Llama8B,uid_apa_1968,r2_pid_apa67221
"Der Rückgang fiel schwächer aus als im Vorjahr, im Oktober 2018 sanken die Arbeitslosenzahlen noch um 4,6 Prozent.","Der Abstieg der Arbeitslosen war aber nicht so stark. Im Oktober 2018 sanken die Arbeitslosen um 4,6 Prozent. Damals war es also stärker.","Die Arbeitslosen- Zahl sank weniger als im Vorjahr. Im Oktober 2018 sank sie um 4,6 Prozent. Damals war der Arbeitslos-Rückgang also größer.",2.5082328883,3.2082380437,Llama8B,uid_lhapa_81,r2_pid_lhapa1798849
Das Lager hätte deswegen für die nächste Woche unter Quarantäne gestellt werden sollen.,Das Lager hätte deshalb eine Woche lang in Quarantäne bleiben müssen.,Deswegen hätte das Lager unter Quarantäne gestellt werden sollen.,3.9096289843,2.849171311,Llama8B,uid_apa_3777,r2_pid_apa1446485
Mehr als 70 Tote bei Feuer in Zug in Pakistan.,Mehr als 70 Tote nach dem Zug-Feuer in Pakistan.,Mindestens 70 Menschen sind in Pakistan bei einem Feuer in einem Zug ums Leben gekommen.,5.2665634644,2.5666674089,Llama8B,uid_apa_1347,r2_pid_apa1288926
Nach einer rund zweieinhalbmonatigen Schließung aufgrund der Corona-Epidemie sperren am Freitag die Fitnessstudios und die Thermen wieder auf.,Am Freitag gehen die Sperrungen von Fitness-Studios und Thermen auf. Sie mussten 2 Monate zu wegen Corona zu. Nun dürfen sie wieder öffnen.,Am Freitag sind die Fitness-Studios und die Thermen wieder auf. Sie waren rund 2 Monate wegen Corona zu.,4.1558880557,3.1023505261,Llama8B,uid_lhapa_9131,r2_pid_lhapa1833828
Vor allem am Bau und im Tourismus gab es weniger Arbeitslose.,Besonders am Bau und im Tourismus gab es viele neue Jobs.,Am Bau und im Tourismus gibt es weniger arbeitslose Menschen.,7.1802569205,3.6635282699,LeoLM Mistral 7B,uid_apa_3729,r2_pid_apa805457
Setien war zuletzt Trainer beim Fußball-Klub Betis Sevilla aus Spanien.,Setien war zuletzt Trainer beim Fußball-Club Betis Sevilla. Das ist ein Fußball-Klub aus Spanien.,Bis vor kurzem war Setien Trainer bei einem Fußball-Klub aus Spanien. Der Fußball-Klub heißt Betis Sevilla.,2.3070490709,2.6727670133,Llama8B,uid_apa_1524,r2_pid_apa1301433
"Das hat der Landes-Hauptmann von Tirol, Günther Platter so entschieden.",Das hat Tirols Landes-Hauptmann Günther Platter gesagt.,"Das entschied der Landes-Hauptmann von Tirol, Günther Platter.",2.5432134896,2.2983474878,Disco Llama8B,uid_apa_733,r2_pid_apa283617
"Das sei ein guter Überblick für die Bevölkerung über die regionale Entwicklung, sagte Bundeskanzler Sebastian Kurz (ÖVP).","Bundeskanzler Sebastian Kurz meint, dass das eine gute Übersicht für die Bevölkerung ist. Er will damit die regionale Entwicklung erklären.","Es sei ein guter Überblick über die regionale Entwicklung für die Menschen, sagte Kurz.",2.6263365655,3.5738523854,Disco Llama8B,uid_lhapa_5335,r2_pid_lhapa452479
