original,simplification1,simplification2,question,options,answer,orig_id,simp_pair_id
Das russische Parlament hat eine Änderung der Verfassung beschlossen.,In Russland wurde eine Änderung der Verfassung beschlossen. Putin könnte so noch länger als Präsident bleiben.,Das russische Parlament hat eine Änderung in der Verfassung beschlossen.,2,n,6,uid_apa_test_416,r3_pid_apa228
Dabei wurden auch Geschäfte zerstört und Polizei-Autos in Brand gesetzt.,Es kam auch zu Brandstiftung und Zerstörungen. Es wurden auch Geschäfte zerstört und Feuerwehr-Autos angezündet.,Bei den Unruhen im Land wurden auch Geschäfte zerstört und Polizei-Autos in Brand gesetzt. Die Unruhen gehen schon seit mehreren Monaten.,2,n,6,uid_apa_test_245,r3_pid_apa59
Am Montag hat das Elefanten-Mädchen Kibali im Wiener Tiergarten Schönbrunn seinen ersten Geburtstag gefeiert.,Im Tiergarten Schönbrunn in Wien hat ein Elefanten-Mädchen seinen ersten Geburtstag gefeiert. Das Elefanten-Mädchen heißt Kibali. Sie feierte ihren ersten Geburtstag am Montag.,Kibali ist ein Elefanten-Mädchen. Am Montag hat Kibali einen Geburtstag gefeiert. Kibali ist im Wiener Tiergarten Schönbrunn zuhause.,6,y,5,uid_apa_test_761,r3_pid_apa165
Am 11. September 2001 flogen Terroristen mit 2 Flugzeugen absichtlich in die 2 Hochhäuser des World Trade Center.,Am 11. September 2001 wurden 2 Hoch-Häuser vom Terror angreift. Das World Trade Center in New York wurde mit 2 Flugzeugen bombardiert. Dadurch fielen die Hochhäuser und viele Menschen starben.,Am 11. September 2001 flogen Flugzeuge in 2 Hochhäuser des World Trade Center. 2 Terroristen steuerten diese Flugzeuge absichtlich hinein.,6,y,10,uid_apa_test_374,r3_pid_apa182
Der Präsident von China Xi Jinping besuchte mit einer Maske und einem weißen Kittel ein Krankenhaus in Peking.,In China besuchte der Präsident Xi Jinping ein Krankenhaus. Er trug eine Maske und einen Kittel.,Der Präsident von China Xi Jinping besuchte Patienten in einem Krankenhaus.,5,n,5,uid_apa_test_649,r3_pid_apa293
"Auch spazieren gehen darf man nur alleine oder mit den Menschen, mit denen man zusammen lebt.","Man darf nur mit sich selbst oder mit den Menschen, mit denen man zusammen lebt. Zum Beispiel mit den Eltern oder Geschwistern.","Auch spazieren gehen darf man nur alleine oder mit den Menschen, mit denen man zuhause lebt. Dafür gibt es keine Ausnahmen.",6,y,1,uid_apa_test_653,r3_pid_apa50
2019 lebten demnach 426 Millionen unter 18-Jährige in Konflikt-Gebieten.,"2019 lebten rund 426 Millionen Kinder und Jugendliche in Gebieten, die im Konflikt sind. Das bedeutet sie sind in Gefahr, weil es in diesen Ländern Krieg und Gewalt gibt.","2019 lebten 426 Millionen Kinder und Jugendliche in Konflikt-Gebieten. Das sind Kinder, die in Kriegen leben.",6,y,13,uid_apa_test_143,r3_pid_apa269
Bei den Buben wurden neben Paul auch gerne die Namen David und Jakob gewählt.,Dafür wurden bei den Jungen der Namen David und Jakob auch sehr beliebt.,David und Jakob sind auch sehr beliebte Namen.,6,y,5,uid_apa_test_423,r3_pid_apa28
"Generell empfiehlt die Regierung, Freunde und Bekannte derzeit nicht mehr zu treffen.","Das heißt, man sollte keine Freunde mehr treffen und auch keine Feiern veranstalten.",Generell soll man Freunde und Bekannte derzeit nicht mehr treffen.,2,y,3,uid_apa_test_138,r3_pid_apa132
Bei den Buben wurden neben Paul auch gerne die Namen David und Jakob gewählt.,"Im Jahr 2019 waren die beliebtesten Namen für Buben Paul, David und Jakob. Das sind Namen, die schon in früheren Jahren oft verwendet wurden.","Bei den Buben sind die Namen Paul, David und Jakob besonders beliebt.",2,n,12,uid_apa_test_423,r3_pid_apa146
"Da die ÖVP und die FPÖ nun nicht mehr zusammenarbeiten, hat sich die ÖVP nun anders entschieden.","Da die ÖVP und die FPÖ nicht mehr zusammenarbeiten, gibt es nun eine andere Entscheidung.",Die ÖVP-Politiker arbeiten nicht mehr mit der FPÖ zusammen.,5,n,6,uid_apa_test_305,r3_pid_apa262
Das Fracht-Schiff hatte vor über einem Jahr mitten im Atlantischen Ozean technische Probleme und konnte nicht mehr weiterfahren.,Das Fracht-Schiff hatte vor über einem Jahr technische Probleme. Deshalb konnte es nicht mehr weiterfahren.,Das Fracht-Schiff hatte letztes Jahr Probleme mit dem Motor. Es konnte deshalb nicht weiterfahren. Es driftete mitten im Atlantischen Ozean.,6,n,5,uid_apa_test_525,r3_pid_apa264
Derzeit sind 4.456 Menschen in Österreich am Corona-Virus erkrankt.,"Das heißt, dass 4.456 Menschen in Österreich gerade krank am Corona-Virus sind.",4.456 Menschen in Österreich sind krank. Sie haben sich mit dem Corona-Virus angesteckt.,2,y,1,uid_apa_test_625,r3_pid_apa63
"Ende September gab es noch 295.000 Kurzarbeiter, im Frühjahr waren es sogar 1,3 Millionen.","Im Frühjahr gab es mehr als 1,3 Millionen Menschen, die wegen Corona in Kurz-Arbeit waren.","Im Frühjahr gab es in Österreich rund 1,3 Millionen Menschen, die in Kurz-Arbeit waren. Die Österreicher in Kurz-Arbeit haben im letzten Jahr aber weniger verdient.",5,n,10,uid_apa_test_448,r3_pid_apa115
Die 2 Frauen bekommen den Nobelpreis für die Entwicklung der sogenannten Gen-Schere CRISPR/Cas9.,Die 2 Frauen bekommen den Nobelpreis für die Entdeckung der CRISPR-Schere. CRISPR-Cas9 heißt der Name der Schere. Die Schere schneidet genau in ein bestimmtes Stück Dna. Damit kann man genetische Störungen behandeln. Die Störungen sind schädlich. Sie verursachen Krankheiten.,Sie haben das genetische Werkzeug CRISPR/Cas9 entwickelt. Es macht es leichter Genetik- Forschung zu machen. Genetik-Forscher wissen mit der Gen-Schere mehr über den Gen-Aufbau von Tieren und Menschen.,6,n,11,uid_apa_test_5,r3_pid_apa234
Dann kamen die falschen Polizisten zu den älteren Menschen nach Hause und holten das Geld ab.,Die falschen Polizisten sind dann zu den Menschen gegangen und haben das Geld abgeholt.,Die Polizei fährt dann zu den älteren Menschen nach Hause. Sie nimmt den Menschen die Gold-Münzen ab.,5,n,3,uid_apa_test_722,r3_pid_apa205
Dabei wurde er von einem weiteren umstürzenden Baum getroffen und getötet.,Ein Baum stürzte auf ihn.,Er wurde vom Baum getroffen und getötet.,5,n,2,uid_apa_test_671,r3_pid_apa171
Das Windrad in Lichtenegg steht Besuchern offen und kann von April bis September am Wochenende besichtigt werden.,Die Windräder in Lichtenegg in Niederösterreich kann man sogar besuchen.,Das Windrad in Lichtenegg kann man besichtigen.,5,y,3,uid_apa_test_622,r3_pid_apa104
