original,simplification1,simplification2,question,options,answer,orig_id,simp_pair_id
"Dabei soll geprüft werden, ob die WHO etwas falsch gemacht hat.","Dabei soll auch untersucht werden, ob die WHO etwas falsch gemacht hat.","Man kann überprüfen, ob die WHO beim Kampf gegen den Corona-Virus etwas falsch gemacht hat. Das nennt man Überprüfung.",5,y,7,uid_apa_test_408,r3_pid_apa151
"2019 waren 6 Kinder unter den Todesopfern, während im Jahr 2018 kein Kind beim Zu-Fuß-Gehen im Straßenverkehr starb.",2019 sind 6 Kinder beim Zu-Fuß-Gehen gestorben. Im Jahr 2018 war kein Kind beim Zu-Fuß-Gehen gestorben.,Im Jahr 2019 sind in Österreich 6 Kinder beim Zu-Fuß-Gehen im Straßen-Verkehr gestorben.,5,n,3,uid_apa_test_710,r3_pid_apa3
Am Mittwoch hat es um 8.30 Uhr in der Gegend von Admont in der Steiermark ein Erdbeben gegeben.,"Am Mittwoch hat es in der Steiermark um 8.30 Uhr am Morgen ein Erdbeben gegeben. Das Erdbeben hatte eine Stärke von 4,1.","Am Mittwoch hat es um 8.30 Uhr in der Gegend von Admont in der Steiermark ein Erdbeben gegeben. Das Beben erreichte eine Stärke von 4,1.",2,y,3,uid_apa_test_654,r3_pid_apa56
"Allerdings sagen einige Geheimdienste aus dem Ausland, dass das BVT nicht genug macht, um seine geheime Arbeit zu schützen.","Das BVT muss alles so gut beschützen, damit keiner weiß, was es genau tut.","Allerdings sagen andere Geheimdienste: BVT macht nicht genug, um die Arbeit geheim zu halten.",5,y,0,uid_apa_test_599,r3_pid_apa275
Auf der ganzen Welt sind schon hunderttausende Menschen von Corona-Virus krank geworden.,"Auf der ganzen Welt haben sich hunderttausende Menschen mit dem Corona-Virus angesteckt. Sie haben sich infiziert. Das heißt, sie haben den Corona-Virus in sich. Viele davon sind krank geworden.",Auf der ganzen Welt sind schon viele Millionen Menschen von dem Corona-Virus krank geworden. Der Corona-Virus hat schon auf der ganzen Welt eine grosse Auswirkung.,6,y,4,uid_apa_test_752,r3_pid_apa232
Derzeit sind 4.456 Menschen in Österreich am Corona-Virus erkrankt.,4.456 Menschen in Österreich sind krank. Sie haben sich mit dem Corona-Virus angesteckt.,"Das heißt, dass 4.456 Menschen in Österreich gerade krank am Corona-Virus sind.",2,y,1,uid_apa_test_625,r3_pid_apa63
Dabei wurden auch Geschäfte zerstört und Polizei-Autos in Brand gesetzt.,Dabei wurden auch Polizei-Autos abgebrannt und Geschäfte zerstört.,Bei diesem Streit wurden auch Geschäfte zerstört.,5,n,1,uid_apa_test_245,r3_pid_apa85
"Die österreichischen Haushalte sparten laut vorläufigen Zahlen 31,9 Milliarden Euro.",Die Menschen in Österreich haben im Jahr 2019 viel weniger Geld verbraucht als in den Jahren davor.,"Die Österreicher sparten laut vorläufigen Zahlen 31,9 Milliarden Euro.",5,n,8,uid_apa_test_367,r3_pid_apa82
Am Montag hat das Elefanten-Mädchen Kibali im Wiener Tiergarten Schönbrunn seinen ersten Geburtstag gefeiert.,Am Montag hat das Elefanten-Mädchen Kibali im Tiergarten Schönbrunn seinen ersten Geburtstag gefeiert. Sie wohnt mit der 42 Jahre alten Mama Temi und der 40 Jahre alten Tante Voi Nam zusammen.,Am Montag ist Elefanten-Mädchen Kibali ein Jahr alt geworden.,2,n,22,uid_apa_test_761,r3_pid_apa221
Das russische Parlament hat eine Änderung der Verfassung beschlossen.,"Das russische Parlament beschloss eine Änderung von der Verfassung. Das heißt, die Verfassung wird etwas geändert.",In Russland ist die Verfassung geändert worden. Das hat das russische Parlament beschlossen.,6,y,3,uid_apa_test_416,r3_pid_apa80
