original,simplification1,simplification2,question,options,answer,orig_id,simp_pair_id
Covid-19 breitete sich schnell auf der ganzen Welt aus.,Covid-19 breitete sich schnell auf der ganzen Welt aus.,Schon nach ein paar Wochen war Covid-19 auf der ganzen Welt verteilt.,2.979439675,3.272493718,Disco Llama8B,uid_apa_1016,r2_pid_apa1441
Die meisten der Ausländer in Österreich kommen aus Deutschland.,Von allen Ausländern in Österreich kommen die meisten aus Deutschland.,"Die meisten Ausländer, die in Österreich leben, kommen aus Deutschland.",2.409676403,2.175450255,Disco Llama8B,uid_apa_3848,r2_pid_apa193877
"Ein Mammut war ein großes Tier, das aussah wie ein Elefant mit dickem Fell.",Ein Mammut war ein großes Tier mit dickem Fell. Es sah dem Elefant sehr ähnlich.,Ein Mammut sah ähnlich aus wie ein heutiger Elefant. Es hatte aber zusätzlich ein dickes Fell.,2.409416522,3.274308255,Llama8B,uid_apa_410,r2_pid_apa1468094
Im Eingangs-Bereich muss man eine Schutzmaske tragen.,Man muss im Eingangs-Bereich eine Schutz-Maske tragen.,Im Eingangsbereich wird eine Schutz-Maske verlangt.,2.393338119,3.341829899,LeoLM Mistral 7B,uid_apa_4417,r2_pid_apa856407
"Gerade jetzt brauchen uns diese Menschen und wir wollen ihnen zur Seite stehen, sagte Katharina Krammer, Obfrau des Vereins Leiwandes Simmering.","Gerade jetzt brauchen uns diese Menschen und wir wollen ihnen helfen, sagte Katharina Krammer vom Verein Leiwandes Simmering. Sie ist Obfrau des Vereins.",Gerade jetzt brauchen diese Leute unsere Hilfe. Das sagte Katharina Krammer vom Verein Leiwandes Simmering. Der Verein will helfen.,1.807840981,2.29360156,Llama8B,uid_lhapa_8102,r2_pid_lhapa1799012
Außerdem verdienen Männer immer noch mehr als Frauen.,Männer verdienen auch immer noch mehr als Frauen. Sie bekommen immer noch höhere Gehälter.,Aber Männer verdienen immer noch mehr als Frauen.,4.316551255,5.490833067,Llama8B,uid_apa_3086,r2_pid_apa1400710
Im Süden der USA haben viele Tornados mindestens 32 Menschen getötet.,Im Süden der USA gab es viele Tornados. Sie haben mindestens 32 Menschen getötet.,Im Süden von Amerika haben Tornados mindestens 32 Menschen getötet.,2.509658352,3.095467858,Llama8B,uid_apa_3903,r2_pid_apa1455187
"Wie lange die Regierungs-Verhandlungen dauern werden, weiß man noch nicht.","Wann die Regierungs-Verhandlungen vorbei sein werden, weiß man noch nicht.","Wie lange die Verhandlungen gehen werden, weiß man noch nicht.",1.992562187,2.651461928,Disco Llama8B,uid_apa_3900,r2_pid_apa197611
Im Zug befanden sich acht Personen und der Triebwagenführer.,"Dafür waren nur 9 Menschen im Zug, ein Triebwagen-Fahrer und 8 Fahrgäste.",Im Zug waren 8 Personen und der Zug-Führer.,4.393750513,3.587564466,Llama8B,uid_lhapa_8011,r2_pid_lhapa1795961
"Die Fregatte ist leckgeschlagen und man habe keine Kontrolle über das Leck, hieß es.","Die Fregatte ist leck. Man weiß nicht, woher das Leck kommt und wie man es reparieren kann.","Die Fregatte ist leckgeschlagen. Die Marine kann das Leck nicht stoppen, hieß es.",2.466278212,2.800429923,Llama8B,uid_lhapa_8099,r2_pid_lhapa1798786
"Die Langform von Max, nämlich Maximilian, ist 2018 auch der meistgetaufte Bubenname gewesen.",Maximilian war auch 2018 der meistgewählte Namen für Buben. Maximilian ist die Langform von Max.,2018 war Maximilian aber der meistgetaufte Bubenname. Er heißt Max abgekürzt.,2.801583272,2.997470277,Llama8B,uid_lhapa_8003,r2_pid_lhapa1795590
Elefanten-Baby in Schönbrunn ab Freitag zu sehen.,Elefanten-Baby in Schönbrunn. Ab Freitag kann man es besichtigen.,Ab Freitag ist ein Elefanten-Baby in Schönbrunn zu sehen.,2.558504994,2.62313362,Llama8B,uid_apa_173,r2_pid_apa1314785
In diesem Gebäude arbeitet der Bundeskanzler.,Der Bundeskanzler arbeitet in diesem Haus.,Dort arbeitet nämlich der Bundeskanzler von Österreich.,3.652145702,4.245400574,LeoLM Mistral 7B,uid_apa_4809,r2_pid_apa884284
"Treibstoffe verteuerten sich im Jänner um 2,7 Prozent, im Dezember hatten sie sich noch um 2,3 Prozent verbilligt.","Benzin wurde auch noch teurer. Im Jänner stiegen die Preise um 2,7 Prozent. Im Dezember waren sie noch um 2,3 Prozent billiger gewesen.","Treibstoffe wurden aber wieder teurer. Sie stiegen im Jänner um 2,7 Prozent. Im Dezember waren sie aber noch um 2,3 Prozent billiger.",2.568053076,2.546778141,Llama8B,uid_lhapa_8127,r2_pid_lhapa1799420
"Vorsicht sei auch geboten, wenn mit kleinen Einstiegsbeträgen geködert wird, die sofort Gewinn erzielen.","Auch wenn kleinere Einstiegs-Beträge sofort viel Gewinn versprechen, sollte man vorsichtig sein.","Vorsicht ist geboten, wenn man mit kleinen Beträgen geködert wird, mit denen sofort Gewinn erzielt wird.",3.728504276,2.678445124,Disco Llama8B,uid_lhapa_8028,r2_pid_lhapa545876
"Ein erstmals eingeholtes Gutachten zur Frage, ob die Parteien die Kostengrenze im Vorjahr eingehalten haben, veröffentlicht der Senat im Juni.","Ein Gutachten dazu wird der Senat ab Juni veröffentlichen. Damit kann man dann sehen, ob die Parteien die Kostengrenze eingehalten haben.","Ein erster Bericht über die Kosten ist dann am Juni. Das wird der Senat veröffentlichen. Er wird sehen, ob die Parteien die Kosten-Grenze eingehalten haben.",2.504927152,4.007121688,Llama8B,uid_lhapa_8165,r2_pid_lhapa1800966
"Ist der Test positiv, wird das den Behörden gemeldet.","Wenn jemand positiv getestet ist, sagt man es dann der zuständigen Behörde. Dann wissen dann die Behörden davon.","Wird das Test-Ergebnis positiv, meldet man es den Behörden. Das heißt, man sagt ihnen, dass das Test-Ergebnis positiv war.",5.614483571,2.851456872,Llama8B,uid_apa_2932,r2_pid_apa1390819
"Der Rückgang fiel schwächer aus als im Vorjahr, im Oktober 2018 sanken die Arbeitslosenzahlen noch um 4,6 Prozent.","Der Abstieg der Arbeitslosen war aber nicht so stark. Im Oktober 2018 sanken die Arbeitslosen um 4,6 Prozent. Damals war es also stärker.","Die Arbeitslosen- Zahl sank weniger als im Vorjahr. Im Oktober 2018 sank sie um 4,6 Prozent. Damals war der Arbeitslos-Rückgang also größer.",2.508232888,3.208238044,Llama8B,uid_lhapa_81,r2_pid_lhapa1798849
Sie wurden 34 Tage lang nicht gefunden.,Sie konnten 34 Tage lang nicht gefunden werden.,Sie waren 34 Tage lang vermisst.,3.907730552,4.792417511,Disco Llama8B,uid_apa_3434,r2_pid_apa165537
Im Freien ist ein Treffen von bis zu 12 Personen erlaubt.,Im Freien darf eine Gruppe von bis zu 12 Menschen zusammen sein.,Im Freien können bis zu 12 Personen miteinander treffen.,4.079672224,4.640051781,LeoLM Mistral 7B,uid_apa_1480,r2_pid_apa649820
Am Ende soll sich der Mann selbst erschossen haben.,Am Ende soll sich der Mann selbst erschossen haben.,"Es wird vermutet, dass der Mann sich dann selbst erschossen hat.",4.326279139,3.087598354,Disco Llama8B,uid_apa_1686,r2_pid_apa49628
Corona-Ampel steht in Wien auf Orange.,Corona-Ampel steht in Wien auf Orange.,In Wien ist die Corona-Ampel jetzt Orange.,6.85744698,4.063949034,LeoLM Mistral 7B,uid_apa_398,r2_pid_apa824837
Die Fußball-Fans müssen sich die Spiele im Fernsehen anschauen.,Die Fußball-Fans müssen sich also die Spiele im Fernsehen ansehen.,Die Fans sehen sich die Spiele nur im Fernsehen an. Sie werden nicht dabei sein.,3.046776796,5.449112744,Llama8B,uid_apa_3149,r2_pid_apa1405498
Auch ist das Computer-Netzwerk vom BVT mit dem Internet verbunden.,Denn das BVT ist mit dem Internet verbunden.,Auch ist das Computer-Netzwerk vom BVT mit dem Internet verbunden.,5.229200042,2.914670822,LeoLM Mistral 7B,uid_apa_4283,r2_pid_apa845325
An manchen Schulen startet die Vorbereitung für den Abschluss erst später.,"Es gibt Schulen, an denen die Vorbereitung erst später beginnt.",An manchen Schulen geht die Vorbereitung für den Abschluss erst später los.,4.490225566,2.580226087,LeoLM Mistral 7B,uid_apa_3994,r2_pid_apa825562
"Sie sei daher mitschuld an den Buschbränden, die seit Wochen in Australien wüten.",Sie soll daher mit ihren Bränden eine Mitschuld an den vielen Busch-Bränden in Australien haben. Seit Wochen brennt in Australien die Luft.,Daher ist auch sie mitschuld an den Busch-Bränden. Diese brennen seit Wochen in Australien.,3.882583941,2.630389384,Disco Llama8B,uid_lhapa_8168,r2_pid_lhapa550561
Am Montag hat wieder der Fasching begonnen.,Am Montag ist der Fasching wieder begonnen.,Am Montag hat wieder der Fasching begonnen.,5.86517862,5.93973058,LeoLM Mistral 7B,uid_apa_400,r2_pid_apa825768
