original,simplification1,simplification2,question,options,answer,orig_id,simp_pair_id
"3.639 Menschen befinden sich wegen dem Corona-Virus derzeit im Spital, 701 davon auf einer Intensiv-Station.",Es gibt 3.658 Menschen wegen dem Corona-Virus im Spital.,3.639 Menschen sind derzeit wegen dem Corona-Virus im Spital.,5,y,0,uid_apa_test_737,r3_pid_apa200
Am Freitag haben für rund 450.000 Schüler in Wien und Niederösterreich die Semesterferien begonnen.,In Wien und Niederösterreich begann am Freitag das Semester-Ende. Damit haben für fast 450.000 Schüler in den beiden Bundesländern die Semester-Ferien begonnen.,"Am Freitag haben die Semesterferien für rund 450.000 Schüler in Wien und Niederösterreich begonnen. Das heißt, die Schüler haben rund 6 Wochen Ferien. Das Semester ist zu Ende und das nächste Semester fängt am 18. Februar 2020 an.",2,n,16,uid_apa_test_496,r3_pid_apa120
"Am Mittwoch hat der Iran bekanntgegeben, dass er teilweise aus dem Atom-Abkommen aussteigt.","Am Mittwoch erklärte der Iran, dass er aus dem Atom-Abkommen aussteigen will. Der Iran will nur noch einen Teil davon befolgen.","Am Mittwoch hat Iran mitgeteilt, dass er teilweise aus dem Atom-Abkommen aussteigt. Das Atom-Abkommen ist ein Vertrag mit vielen Ländern. Sie wollen, dass der Iran keine Atom-Waffen mehr macht.",6,n,8,uid_apa_test_425,r3_pid_apa211
"Besonders stark regnete und hagelte es in Oberösterreich, dort waren 65 Feuerwehren mit fast 1.000 Leuten im Einsatz.",Vor allem in Oberösterreich gab es starken Regen und Hagel.,In Österreich war besonders die Region Oberösterreich vom Sturm betroffen.,5,y,0,uid_apa_test_612,r3_pid_apa277
"Generell empfiehlt die Regierung, Freunde und Bekannte derzeit nicht mehr zu treffen.",Generell soll man Freunde und Bekannte derzeit nicht mehr treffen.,"Das heißt, man sollte keine Freunde mehr treffen und auch keine Feiern veranstalten.",2,y,3,uid_apa_test_138,r3_pid_apa132
"""Lonely Planet"" erstellt jedes Jahr eine Rangliste der besten 10 Städte, Länder und Regionen auf der ganzen Welt.","Der Verlag ""Lonely Planet"" hat eine Liste der besten Städte der Welt gemacht. Die Liste nennt 10 Städte und Regionen, die am besten in der Welt sind.",Jedes Jahr stellt der Lonely-Planet-Reiseführer eine Liste von den besten Reise-Destinationen auf der ganzen Welt zusammen.,2,y,11,uid_apa_test_578,r3_pid_apa2
"Die ÖVP findet das Verbot unfair für die Bauern, die Glyphosat verwenden.","In Österreich gilt das Pflanzenschutzmittel Glyphosat-Verbot schon. In anderen Ländern wird Glyphosat in Lebens-Mitteln, z.B. in Brot, verwendet.","Die ÖVP findet es unfair, dass Bauern kein Glyphosat mehr verwenden dürfen.",5,n,6,uid_apa_test_446,r3_pid_apa45
Am 7. September startet im Osten von Österreich das neue Schuljahr.,Am 7. September startet in Österreich das neue Schuljahr.,Im Osten von Österreich beginnt am 7. September das neue Schuljahr.,5,n,2,uid_apa_test_734,r3_pid_apa99
Als erster Mensch in den USA bekam die Krankenschwester Sandra Lindsay die Impfung.,"Sie war die erste Person in den USA, die sich impfen ließ. Sie hieß Sandra Lindsay. Sie ist eine Krankenschwester. Sie bekam die erste Impfung in den USA.","Die Krankenschwester Sandra Lindsay war die erste Person in den USA, die die Corona-Impfung bekam.",6,n,13,uid_apa_test_50,r3_pid_apa25
Dadurch ist Thiem bereits für das Halbfinale qualifiziert.,Dadurch ist Thiem sicher im Halb-Finale.,Durch das Gewinnen im Viertelfinale hat Dominic Thiem schon das Halb-Finale erreicht.,2,n,6,uid_apa_test_311,r3_pid_apa24
